Rank,Player,SchoolTeam,Position,Comps
1,Cade Cunningham,Oklahoma State,Guard,"Shai Gilgeous-Alexander, Ben Simmons"
2,Evan Mobley,USC,Big,"Chris Bosh, Christian Wood"
3,Jalen Green,G-League Ignite,Guard,"Zach Lavine, Bradley Beal, Malik Monk"
4,Jalen Suggs,Gonzaga,Guard,"Brandon Roy, Chauncey Billups, Jamal Murray"
5,Jonathan Kuminga,G-League Ignite,Forward,"Danny Granger, Luol Deng, Jeff Green"
6,Keon Johnson,Tennessee,Guard,"Latrell Sprewell, Kentavious Caldwell-Pope, Gary Harris"
7,Corey Kispert,Gonzaga,Forward,"Bojan Bogdanovic, Joe Harris, Gary Trent Jr."
8,Kai Jones,Texas,Big,"Christian Wood, JaVale McGee"
9,Franz Wagner,Michigan,Guard,"Lamar Odom, Danilo Gallinari, Xavier Tillman"
10,Moses Moody,Arkansas,Wing,"Mikal Bridges, OG Anunoby, Morris Peterson"
11,Scottie Barnes,Florida State,Wing,"Draymond Green, Pascal Siakam, Michael Carter-Williams"
12,Jalen Johnson,Duke,Wing,"Aaron Gordon, Rudy Gay, RJ Barrett"
13,James Bouknight,UConn,Guard,"Donovan Mitchell, CJ McCollum, Jordan Clarkson"
14,Jaden Springer,Tennessee,Guard,"Kyle Lowry, Malcolm Brogdon"
15,Ayo Dosunmu,Illinois,Guard,"Jrue Holiday, Delon Wright, Elfrid Payton"
